onset	duration	nwb_table	target_on_time	go_cue_time	target_id	target_corners	target_dir	result
2.555	4.241	trials	4.7107	5.731233333333333	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
7.048	5.0	trials	9.814366666666666	11.069466666666667	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
12.3	3.4109999999999996	trials	13.875433333333334	14.5461	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
15.963	3.991999999999999	trials	17.862333333333332	18.8568	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
20.206	3.522000000000002	trials	21.540466666666667	22.743466666666666	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
23.98	2.195999999999998	trials	25.724866666666667		2.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	0.0	A
26.428	3.946999999999999	trials	28.7223	29.377933333333335	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
30.627	3.073000000000004	trials	32.7573		5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	A
33.951	4.244999999999997	trials	36.31413333333333	37.007866666666665	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
38.447	2.7209999999999965	trials	39.91506666666667		7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	A
41.42	3.428999999999995	trials	43.0709	43.72853333333333	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
45.101	4.609000000000002	trials	47.207166666666666	48.44323333333333	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
49.962	3.8769999999999953	trials	51.7294	52.51133333333333	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
54.09	4.075999999999993	trials	56.0822	57.10273333333333	7.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	2.356194490192345	R
58.418	4.298000000000002	trials	60.5914	61.5207	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
62.967	2.3599999999999994	trials	64.24546666666667		3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	A
65.579	4.717000000000013	trials	68.11106666666667	69.16366666666667	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
70.547	2.0450000000000017	trials	72.0318		0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	A
