onset	duration	nwb_table	target_on_time	go_cue_time	target_id	target_corners	target_dir	result
2.667	4.2330000000000005	trials	4.625933333333333	5.829933333333333	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
7.151	3.404	trials	8.338166666666666	9.463933333333333	4.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	-1.5707963267948966	R
10.806	0.718	trials				[NaN, NaN, NaN, NaN]		A
11.776	3.5459999999999994	trials	13.1982	13.868866666666667	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
15.574	3.869999999999999	trials	17.314433333333334	18.811133333333334	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	I
19.695	3.2250000000000014	trials	21.2121	21.810566666666666	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
23.172	4.213000000000001	trials	24.7238	25.9288	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
27.637	3.8320000000000007	trials	28.853066666666667	30.264566666666667	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
31.72	4.2180000000000035	trials	33.688066666666664	34.8419	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
36.189	3.2550000000000026	trials	37.67593333333333	38.356633333333335	3.0	[-1.0, 9.0, 1.0, 7.0]	-0.7853981633974483	R
39.696	4.058	trials	41.272866666666665	42.34453333333333	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
44.006	2.299999999999997	trials	45.1174		4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	A
46.558	3.6510000000000034	trials	48.4156	49.0983	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
50.461	2.6499999999999986	trials	52.22303333333333		6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	A
53.363	4.649999999999999	trials	56.057566666666666	57.4089	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	I
58.265	1.2650000000000006	trials	59.455		7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	A
59.782	4.132000000000005	trials	61.05093333333333	62.5276	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	I
64.166	0.5439999999999969	trials				[NaN, NaN, NaN, NaN]		A
64.962	3.242999999999995	trials	65.93706666666667	67.25633333333333	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
68.456	0.48099999999999454	trials				[NaN, NaN, NaN, NaN]		A
69.188	2.6069999999999993	trials	69.80766666666666	70.8673	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
72.046	3.36399999999999	trials	73.2402	74.39706666666666	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
75.661	3.5309999999999917	trials	77.6411	78.57543333333334	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	I
79.444	0.44299999999999784	trials				[NaN, NaN, NaN, NaN]		A
80.138	2.411999999999992	trials	80.8561	81.8245	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	I
82.802	0.5609999999999928	trials				[NaN, NaN, NaN, NaN]		A
83.615	2.575000000000003	trials	84.86003333333333	85.51663333333333	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	I
86.442	3.4880000000000138	trials	88.1101	88.85893333333334	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
90.181	3.7150000000000034	trials	91.9055	92.61626666666666	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
94.148	3.3689999999999998	trials	96.3415		1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	A
97.769	0.2949999999999875	trials				[NaN, NaN, NaN, NaN]		A
98.315	0.2609999999999957	trials				[NaN, NaN, NaN, NaN]		A
98.828	2.9919999999999902	trials	99.83216666666667	100.76346666666667	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
102.072	2.546999999999997	trials	103.64563333333334		6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	A
104.871	0.6950000000000074	trials				[NaN, NaN, NaN, NaN]		A
105.818	1.5100000000000051	trials	106.5789		5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	A
107.579	4.317000000000007	trials	109.93523333333333	110.79636666666667	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
112.148	3.3659999999999997	trials	113.49406666666667	114.1497	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
115.766	3.319999999999993	trials	116.7271	118.04736666666666	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
119.338	3.5470000000000113	trials	120.70196666666666	121.75256666666667	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
123.137	3.7579999999999956	trials	124.7881	125.8357	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
127.147	3.6729999999999876	trials	128.7028	129.85866666666666	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
131.072	4.260999999999996	trials	133.08166666666668	134.24956666666668	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
135.585	3.350999999999999	trials	136.73073333333335	137.6079	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
139.188	2.4550000000000125	trials	141.22786666666667		7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	A
141.895	11.807999999999993	trials	151.9094	152.62116666666665	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
153.954	2.955999999999989	trials	155.67273333333333		0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	A
157.161	4.918000000000006	trials	159.92226666666667	161.40896666666666	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	I
162.33	0.3649999999999807	trials				[NaN, NaN, NaN, NaN]		A
162.947	3.211999999999989	trials	164.1628	164.8986	1.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	0.7853981633974483	R
166.41	0.3669999999999902	trials				[NaN, NaN, NaN, NaN]		A
167.029	1.7129999999999939	trials	167.76973333333333		4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	A
168.994	3.5349999999999966	trials	170.66893333333334	171.32356666666666	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
